Date,MAW
2016-11-11 23:10:00,10914
2016-11-11 23:10:15,10976
2016-11-11 23:10:30,11012
2016-11-11 23:10:45,11118
2016-11-11 23:11:00,11199
2016-11-11 23:11:15,11325
2016-11-11 23:11:30,11394
2016-11-11 23:11:45,11163
2016-11-11 23:12:00,11114
2016-11-11 23:12:15,11226
2016-11-11 23:12:30,10943
2016-11-11 23:12:45,10921
2016-11-11 23:13:00,10890
2016-11-11 23:13:15,10830
2016-11-11 23:13:30,10775
2016-11-11 23:13:45,10406
2016-11-11 23:14:00,10373
2016-11-11 23:14:15,10146
2016-11-11 23:14:30,10298
2016-11-11 23:14:45,10697
2016-11-11 23:15:00,10906
2016-11-11 23:15:15,10429
2016-11-11 23:15:30,10448
2016-11-11 23:15:45,10459
2016-11-11 23:16:00,10733
2016-11-11 23:16:15,10789
2016-11-11 23:16:30,10891
2016-11-11 23:16:45,10843
2016-11-11 23:17:00,11070
2016-11-11 23:17:15,11139
2016-11-11 23:17:30,11391
2016-11-11 23:17:45,11348
2016-11-11 23:18:00,11307
2016-11-11 23:18:15,11469
2016-11-11 23:18:30,11394
2016-11-11 23:18:45,11383
2016-11-11 23:19:00,11375
2016-11-11 23:19:15,11337
2016-11-11 23:19:30,11266
2016-11-11 23:19:45,11098
2016-11-11 23:20:00,10883
2016-11-11 23:20:15,10711
2016-11-11 23:20:30,10275
2016-11-11 23:20:45,10235
2016-11-11 23:21:00,9766
2016-11-11 23:21:15,9688
2016-11-11 23:21:30,9865
2016-11-11 23:21:45,9998
2016-11-11 23:22:00,10035
2016-11-11 23:22:15,9922
2016-11-11 23:22:30,9781
2016-11-11 23:22:45,9408
2016-11-11 23:23:00,9001
2016-11-11 23:23:15,8796
2016-11-11 23:23:30,8650
2016-11-11 23:23:45,8609
2016-11-12 23:00:00,8710
2016-11-12 23:00:15,8652
2016-11-12 23:00:30,8536
2016-11-12 23:00:45,8422
2016-11-12 23:01:00,8326
2016-11-12 23:01:15,8260
2016-11-12 23:01:30,8216
2016-11-12 23:01:45,8192
2016-11-12 23:02:00,8163
2016-11-12 23:02:15,8123
2016-11-12 23:02:30,8107
2016-11-12 23:02:45,8128
2016-11-12 23:03:00,8159
2016-11-12 23:03:15,8173
2016-11-12 23:03:30,8148
2016-11-12 23:03:45,8109
2016-11-12 23:04:00,8154
2016-11-12 23:04:15,8132
2016-11-12 23:04:30,8115
2016-11-12 23:04:45,8073
2016-11-12 23:05:00,8103
2016-11-12 23:05:15,7937
2016-11-12 23:05:30,8004
2016-11-12 23:05:45,7943
2016-11-12 23:06:00,7825
2016-11-12 23:06:15,7980
2016-11-12 23:06:30,8144
2016-11-12 23:06:45,8362
2016-11-12 23:07:00,8563
2016-11-12 23:07:15,8741
2016-11-12 23:07:30,9504
2016-11-12 23:07:45,9660
2016-11-12 23:08:00,9787
2016-11-12 23:08:15,9846
2016-11-12 23:08:30,10005
2016-11-12 23:08:45,10134
2016-11-12 23:09:00,10231
2016-11-12 23:09:15,10404
2016-11-12 23:09:30,10472
2016-11-12 23:09:45,10505
2016-11-12 23:10:00,10618
2016-11-12 23:10:15,10687
2016-11-12 23:10:30,10731
2016-11-12 23:10:45,10879
2016-11-12 23:11:00,11001
2016-11-12 23:11:15,11155
2016-11-12 23:11:30,11247
2016-11-12 23:11:45,10962
2016-11-12 23:12:00,10888
2016-11-12 23:12:15,11006
2016-11-12 23:12:30,10629
2016-11-12 23:12:45,10635
2016-11-12 23:13:00,10522
2016-11-12 23:13:15,10498
2016-11-12 23:13:30,10492
2016-11-12 23:13:45,10063
2016-11-12 23:14:00,10001
2016-11-12 23:14:15,9764
2016-11-12 23:14:30,9908
2016-11-12 23:14:45,10273
2016-11-12 23:15:00,10345
